Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
900,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18232/2026-2027/242943,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),HARENDRA SINGH MALIK,MUZAFFARNAGAR,04-Aug-26,PRAVINDRA KUMAR,Payment In-Progress,239848
901,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18232/2026-2027/240893,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),HARENDRA SINGH MALIK,MUZAFFARNAGAR,04-Aug-26,PRAVINDRA KUMAR,Payment In-Progress,107938
902,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18232/2026-2027/278423,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),HARENDRA SINGH MALIK,MUZAFFARNAGAR,05-Aug-26,A P DEVELOPERS,Payment In-Progress,439619
903,Rajasthan,Construction of community centers and community halls,WS/MP18162/2025-2026/187390,Shahpura(DISTRICT COLLECTOR Shahpura_IDA),DAMODAR AGARWAL,BHILWARA,23-May-26,Pinky Kumari Sharma,Payment In-Progress,6693
904,Rajasthan,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP719/2025-2026/208008,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,14-Aug-26,CHATUBHRAJ BAGRIYA,Payment In-Progress,255
905,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/227474,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,06-Aug-26,HANUMAN CONSTRUCTION,Payment In-Progress,358019
906,Rajasthan,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP719/2025-2026/208008,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,13-Aug-26,NORAVA,Payment In-Progress,3705
907,Uttar Pradesh,Construction of boundary walls of existing public and community buildings,WS/MP18238/2025-2026/214951,DEORIA(DISTRICT MAGISTRATE DEORIA),RAMASHANKAR RAJBHAR,SALEMPUR,22-Aug-26,MS AKHAND PRATAP TRADERS,Payment In-Progress,524573
908,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18232/2024-2025/141619,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),HARENDRA SINGH MALIK,MUZAFFARNAGAR,24-Apr-26,A P DEVELOPERS,Payment In-Progress,26735
909,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP575/2025-2026/163013,NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA),C R Patil,NAVSARI,23-Aug-26,GRAM PANCHAYAT SARIKHURAD,Payment In-Progress,500000
